intervals,trapezoid,simpson
4,0.483531149762812,0.483190779220631
8,0.490628917449413,0.489222908882407
16,0.49149543729246,0.490944940516985
32,0.491466882605593,0.491302283333817
64,0.491434356916671,0.491396479618317
128,0.491416151515656,0.49140629795598
256,0.491409804945496,0.491407013303906
512,0.491408138966968,0.491407474815246
1024,0.491407731458212,0.491407567173944
2048,0.491407618146652,0.491407576410011
4096,0.491407588706638,0.491407578306963
