fine points,integral points,diff_from_last
4,0.483531149762812,-0.206446098243158
8,0.490628917449413,-0.139705357904617
16,0.49149543729246,-0.107067575164938
32,0.491466882605593,-0.102743200911669
64,0.491434356916671,-0.0949821358648683
128,0.491416151515656,-0.0857038866593463
256,0.491409804945496,-0.0768066911129675
512,0.491408138966968,-0.0693824129839658
1024,0.491407731458212,-0.0634430815573963
2048,0.491407618146652,-0.0576670970198031
4096,0.491407588706638,0
